cik,name,reportingDate,filingDate,nameOfIssuer,titleOfClass,cusip,value,sshPrnamt,sshPrnamtType,putCall,investmentDiscretion,otherManager,Sole,Shared,None
312069,BARCLAYS PLC,20231231,20240215,WOLFSPEED INC,COM,977852102,25440,584696,SH,,SOLE,1,584696,0,0
312069,BARCLAYS PLC,20231231,20240215,WOLFSPEED INC,BOND,225447AD3,22,19000,PRN,,SOLE,8,0,0,19000
312069,BARCLAYS PLC,20231231,20240215,WOLFSPEED INC,BOND,977852AD4,530,789000,PRN,,SOLE,8,0,0,789000
312069,BARCLAYS PLC,20231231,20240215,WOLFSPEED INC,OPT,977852102,4133,95000,SH,Call,SOLE,8,95000,0,0
312069,BARCLAYS PLC,20231231,20240215,WOLFSPEED INC,BOND,977852AB8,236,346000,PRN,,SOLE,8,0,0,346000
312069,BARCLAYS PLC,20231231,20240215,WOLFSPEED INC,OPT,977852102,3916,90000,SH,Put,SOLE,8,90000,0,0
312069,BARCLAYS PLC,20231231,20240215,WOLFSPEED INC,COM,977852102,209,4802,SH,,SOLE,9,4802,0,0
1784450,"Marcum Wealth, LLC",20240331,20240410,WOLFSPEED INC,NOTE 1.875%12/0,977852AD4,7255,13000,PRN,,SOLE,0,0,0,13000
1837309,Polar Capital Holdings Plc,20240630,20240814,WOLFSPEED INC,COM,977852102,14566400,640000,SH,,DFND,"1,2",640000,0,0
1465109,Neuberger Berman Group LLC,20240930,20241114,,Common,977852102,22620865,2328273,SH,,DFND,,1914367,0,413905
1465109,Neuberger Berman Group LLC,20240930,20241114,,Common,977852102,720817,74311,SH,,SOLE,,74311,0,0
1692234,"Russell Investments Group, Ltd.",20240331,20240508,Wolfspeed Inc,Sovereign/Corporate,225447AD3,304249,319000,PRN,,DFND,27,319000,0,0
1692234,"Russell Investments Group, Ltd.",20240331,20240508,Wolfspeed Inc,Common Stock,977852102,36875,1250,SH,,DFND,,0,0,1250
1692234,"Russell Investments Group, Ltd.",20240331,20240508,WOLFSPEED INC COM,Common Stock,977852102,1180,40,SH,,DFND,,40,0,0
1843991,"DB Wealth Management Group, LLC",20231231,20240109,WOLFSPEED INC,Common Stock,977852102,78318,1800,SH,,SOLE,,0,0,1800
1542161,"Glaxis Capital Management, LLC",20240331,20240509,WOLFSPEED INC,COM,977852102,442500,15000,SH,Call,SOLE,,15000,0,0
1081407,GABELLI FUNDS LLC,20231231,20240213,WOLFSPEED INC 1.875 12/01/29 CVT,BOND CONVERTIBLE,977852AD4,6612844,9800000,PRN,,SOLE,,9800000,0,0
1421097,"SAMLYN CAPITAL, LLC",20240331,20240515,WOLFSPEED INC,COM,977852102,7582090,257020,SH,,DFND,2,257020,0,0
1421097,"SAMLYN CAPITAL, LLC",20240331,20240515,WOLFSPEED INC,COM,977852102,7333848,248605,SH,,DFND,4,248605,0,0
1421097,"SAMLYN CAPITAL, LLC",20240331,20240515,WOLFSPEED INC,COM,977852102,3390553,114934,SH,,DFND,"1,3",114934,0,0
1421097,"SAMLYN CAPITAL, LLC",20240331,20240515,WOLFSPEED INC,COM,977852102,1336380,45301,SH,,DFND,5,45301,0,0
